Age_Group,(All),,,,,
State,(All),,,,,
,,,,,,
Row Labels,Total Revenue,Total Profit,Total Cost,Cross Check Profit,Total Order_Quantity,
Australia,"$21,302,059.00","$6,776,030.00","$14,526,029.00","$6,776,030.00",263585.00,
Canada,"$7,935,738.00","$3,717,296.00","$4,218,442.00","$3,717,296.00",192259.00,
France,"$8,432,872.00","$2,880,282.00","$5,552,590.00","$2,880,282.00",128995.00,
Germany,"$8,978,596.00","$3,359,995.00","$5,618,601.00","$3,359,995.00",125720.00,
United Kingdom,"$10,646,196.00","$4,413,853.00","$6,232,343.00","$4,413,853.00",157218.00,
United States,"$27,975,547.00","$11,073,644.00","$16,901,903.00","$11,073,644.00",477539.00,
Grand Total,"$85,271,008.00","$32,221,100.00","$53,049,908.00","$32,221,100.00","$1,345,316.00",
